team1,team1score,team2,team2score,Week,Year
Oakland Raiders,17, San Diego Chargers,7,01,1995
Pittsburgh Steelers,23, Detroit Lions,20,01,1995
San Francisco 49ers,24, New Orleans Saints,22,01,1995
St. Louis Rams,17, Green Bay Packers,14,01,1995
Tampa Bay Buccaneers,21, Philadelphia Eagles,6,01,1995
Washington Redskins,27, Arizona Cardinals,7,01,1995
Buffalo Bills,31, Carolina Panthers,9,02,1995
Cincinnati Bengals,24, Jacksonville Jaguars,17,02,1995
Cleveland Browns,22, Tampa Bay Buccaneers,6,02,1995
Dallas Cowboys,31, Denver Broncos,21,02,1995
Green Bay Packers,27, Chicago Bears,24,02,1995
Indianapolis Colts,27, New York Jets,24,02,1995
Kansas City Chiefs,20, New York Giants,17,02,1995
Miami Dolphins,20, New England Patriots,3,02,1995
Minnesota Vikings,20, Detroit Lions,10,02,1995
Oakland Raiders,20, Washington Redskins,8,02,1995
Philadelphia Eagles,31, Arizona Cardinals,19,02,1995
Pittsburgh Steelers,34, Houston Oilers,17,02,1995
San Diego Chargers,14, Seattle Seahawks,10,02,1995
San Francisco 49ers,41, Atlanta Falcons,10,02,1995
St. Louis Rams,17, New Orleans Saints,13,02,1995
Arizona Cardinals,20, Detroit Lions,17,03,1995
Atlanta Falcons,27, New Orleans Saints,24,03,1995
Buffalo Bills,20, Indianapolis Colts,14,03,1995
Chicago Bears,25, Tampa Bay Buccaneers,6,03,1995
Cleveland Browns,14, Houston Oilers,7,03,1995
Dallas Cowboys,23, Minnesota Vikings,17,03,1995
Denver Broncos,38, Washington Redskins,31,03,1995
Green Bay Packers,14, New York Giants,6,03,1995
Kansas City Chiefs,23, Oakland Raiders,17,03,1995
Miami Dolphins,23, Pittsburgh Steelers,10,03,1995
New York Jets,27, Jacksonville Jaguars,10,03,1995
San Diego Chargers,27, Philadelphia Eagles,21,03,1995
San Francisco 49ers,28, New England Patriots,3,03,1995
Seattle Seahawks,24, Cincinnati Bengals,21,03,1995
St. Louis Rams,31, Carolina Panthers,10,03,1995
Atlanta Falcons,13, New York Jets,3,04,1995
Cleveland Browns,35, Kansas City Chiefs,17,04,1995
Dallas Cowboys,34, Arizona Cardinals,20,04,1995
Detroit Lions,27, San Francisco 49ers,24,04,1995
Green Bay Packers,24, Jacksonville Jaguars,14,04,1995
Houston Oilers,38, Cincinnati Bengals,28,04,1995
Minnesota Vikings,44, Pittsburgh Steelers,24,04,1995
New York Giants,45, New Orleans Saints,29,04,1995
Oakland Raiders,48, Philadelphia Eagles,17,04,1995
San Diego Chargers,17, Denver Broncos,6,04,1995
St. Louis Rams,34, Chicago Bears,28,04,1995
Tampa Bay Buccaneers,14, Washington Redskins,6,04,1995
Atlanta Falcons,30, New England Patriots,17,05,1995
Buffalo Bills,22, Cleveland Browns,19,05,1995
Indianapolis Colts,21, St. Louis Rams,18,05,1995
Jacksonville Jaguars,17, Houston Oilers,16,05,1995
Kansas City Chiefs,24, Arizona Cardinals,3,05,1995
Miami Dolphins,26, Cincinnati Bengals,23,05,1995
Oakland Raiders,47, New York Jets,10,05,1995
Philadelphia Eagles,15, New Orleans Saints,10,05,1995
Pittsburgh Steelers,31, San Diego Chargers,16,05,1995
San Francisco 49ers,20, New York Giants,6,05,1995
Seattle Seahawks,27, Denver Broncos,10,05,1995
Tampa Bay Buccaneers,20, Carolina Panthers,13,05,1995
Washington Redskins,27, Dallas Cowboys,23,05,1995
Buffalo Bills,29, New York Jets,10,06,1995
Chicago Bears,31, Carolina Panthers,27,06,1995
Dallas Cowboys,34, Green Bay Packers,24,06,1995
Denver Broncos,37, New England Patriots,3,06,1995
Detroit Lions,38, Cleveland Browns,20,06,1995
Indianapolis Colts,27, Miami Dolphins,24,06,1995
Jacksonville Jaguars,20, Pittsburgh Steelers,16,06,1995
Kansas City Chiefs,29, San Diego Chargers,23,06,1995
Minnesota Vikings,23, Houston Oilers,17,06,1995
New York Giants,27, Arizona Cardinals,21,06,1995
Oakland Raiders,34, Seattle Seahawks,14,06,1995
Philadelphia Eagles,37, Washington Redskins,34,06,1995
Tampa Bay Buccaneers,19, Cincinnati Bengals,16,06,1995
Arizona Cardinals,24, Washington Redskins,20,07,1995
Buffalo Bills,27, Seattle Seahawks,21,07,1995
Carolina Panthers,26, New York Jets,15,07,1995
Chicago Bears,30, Jacksonville Jaguars,27,07,1995
Dallas Cowboys,23, San Diego Chargers,9,07,1995
Denver Broncos,27, Oakland Raiders,0,07,1995
Green Bay Packers,30, Detroit Lions,21,07,1995
Indianapolis Colts,18, San Francisco 49ers,17,07,1995
Kansas City Chiefs,31, New England Patriots,26,07,1995
New Orleans Saints,33, Miami Dolphins,30,07,1995
Philadelphia Eagles,17, New York Giants,14,07,1995
St. Louis Rams,21, Atlanta Falcons,19,07,1995
Tampa Bay Buccaneers,20, Minnesota Vikings,17,07,1995
Atlanta Falcons,24, Tampa Bay Buccaneers,21,08,1995
Carolina Panthers,20, New Orleans Saints,3,08,1995
Chicago Bears,35, Houston Oilers,32,08,1995
Cincinnati Bengals,27, Pittsburgh Steelers,9,08,1995
Green Bay Packers,38, Minnesota Vikings,21,08,1995
Jacksonville Jaguars,23, Cleveland Browns,15,08,1995
Kansas City Chiefs,21, Denver Broncos,7,08,1995
New England Patriots,27, Buffalo Bills,14,08,1995
New York Jets,17, Miami Dolphins,16,08,1995
Oakland Raiders,30, Indianapolis Colts,17,08,1995
San Diego Chargers,35, Seattle Seahawks,25,08,1995
San Francisco 49ers,44, St. Louis Rams,10,08,1995
Washington Redskins,36, Detroit Lions,30,08,1995
Arizona Cardinals,20, Seattle Seahawks,14,09,1995
Carolina Panthers,20, New England Patriots,17,09,1995
Chicago Bears,14, Minnesota Vikings,6,09,1995
Cleveland Browns,29, Cincinnati Bengals,26,09,1995
Dallas Cowboys,28, Atlanta Falcons,13,09,1995
Detroit Lions,24, Green Bay Packers,16,09,1995
Houston Oilers,19, Tampa Bay Buccaneers,7,09,1995
Indianapolis Colts,17, New York Jets,10,09,1995
Miami Dolphins,23, Buffalo Bills,6,09,1995
New Orleans Saints,11, San Francisco 49ers,7,09,1995
New York Giants,24, Washington Redskins,15,09,1995
Philadelphia Eagles,20, St. Louis Rams,9,09,1995
Pittsburgh Steelers,24, Jacksonville Jaguars,7,09,1995
Atlanta Falcons,34, Detroit Lions,22,10,1995
Buffalo Bills,16, Indianapolis Colts,10,10,1995
Carolina Panthers,13, San Francisco 49ers,7,10,1995
Dallas Cowboys,34, Philadelphia Eagles,12,10,1995
Denver Broncos,38, Arizona Cardinals,6,10,1995
Houston Oilers,37, Cleveland Browns,10,10,1995
Kansas City Chiefs,24, Washington Redskins,3,10,1995
Miami Dolphins,24, San Diego Chargers,14,10,1995
Minnesota Vikings,27, Green Bay Packers,24,10,1995
New England Patriots,20, New York Jets,7,10,1995
New Orleans Saints,19, St. Louis Rams,10,10,1995
Oakland Raiders,20, Cincinnati Bengals,17,10,1995
Pittsburgh Steelers,37, Chicago Bears,34,10,1995
Seattle Seahawks,30, New York Giants,28,10,1995
Buffalo Bills,23, Atlanta Falcons,17,11,1995
Cincinnati Bengals,32, Houston Oilers,25,11,1995
Detroit Lions,27, Tampa Bay Buccaneers,24,11,1995
Green Bay Packers,35, Chicago Bears,28,11,1995
Kansas City Chiefs,22, San Diego Chargers,7,11,1995
Minnesota Vikings,30, Arizona Cardinals,24,11,1995
New England Patriots,34, Miami Dolphins,17,11,1995
New Orleans Saints,17, Indianapolis Colts,14,11,1995
Oakland Raiders,17, New York Giants,13,11,1995
Philadelphia Eagles,31, Denver Broncos,13,11,1995
Pittsburgh Steelers,20, Cleveland Browns,3,11,1995
San Francisco 49ers,38, Dallas Cowboys,20,11,1995
Seattle Seahawks,47, Jacksonville Jaguars,30,11,1995
St. Louis Rams,28, Carolina Panthers,17,11,1995
Atlanta Falcons,31, St. Louis Rams,6,12,1995
Buffalo Bills,28, New York Jets,26,12,1995
Carolina Panthers,27, Arizona Cardinals,7,12,1995
Dallas Cowboys,34, Oakland Raiders,21,12,1995
Denver Broncos,30, San Diego Chargers,27,12,1995
Detroit Lions,24, Chicago Bears,17,12,1995
Green Bay Packers,31, Cleveland Browns,20,12,1995
Indianapolis Colts,24, New England Patriots,10,12,1995
Kansas City Chiefs,20, Houston Oilers,13,12,1995
Minnesota Vikings,43, New Orleans Saints,24,12,1995
Philadelphia Eagles,28, New York Giants,19,12,1995
Pittsburgh Steelers,49, Cincinnati Bengals,31,12,1995
San Francisco 49ers,44, Miami Dolphins,20,12,1995
Seattle Seahawks,27, Washington Redskins,20,12,1995
Tampa Bay Buccaneers,17, Jacksonville Jaguars,16,12,1995
Arizona Cardinals,40, Atlanta Falcons,37,13,1995
Chicago Bears,27, New York Giants,24,13,1995
Cincinnati Bengals,17, Jacksonville Jaguars,13,13,1995
Dallas Cowboys,24, Kansas City Chiefs,12,13,1995
Detroit Lions,44, Minnesota Vikings,38,13,1995
Green Bay Packers,35, Tampa Bay Buccaneers,13,13,1995
Houston Oilers,42, Denver Broncos,33,13,1995
Indianapolis Colts,36, Miami Dolphins,28,13,1995
New England Patriots,35, Buffalo Bills,25,13,1995
New Orleans Saints,34, Carolina Panthers,26,13,1995
New York Jets,16, Seattle Seahawks,10,13,1995
Philadelphia Eagles,14, Washington Redskins,7,13,1995
Pittsburgh Steelers,20, Cleveland Browns,17,13,1995
San Diego Chargers,12, Oakland Raiders,6,13,1995
San Francisco 49ers,41, St. Louis Rams,13,13,1995
Carolina Panthers,13, Indianapolis Colts,10,14,1995
Denver Broncos,31, Jacksonville Jaguars,23,14,1995
Detroit Lions,27, Chicago Bears,7,14,1995
Green Bay Packers,24, Cincinnati Bengals,10,14,1995
Kansas City Chiefs,29, Oakland Raiders,23,14,1995
Miami Dolphins,21, Atlanta Falcons,20,14,1995
Minnesota Vikings,31, Tampa Bay Buccaneers,17,14,1995
New Orleans Saints,31, New England Patriots,17,14,1995
New York Giants,10, Arizona Cardinals,6,14,1995
Pittsburgh Steelers,21, Houston Oilers,7,14,1995
San Diego Chargers,31, Cleveland Browns,13,14,1995
San Francisco 49ers,27, Buffalo Bills,17,14,1995
Seattle Seahawks,26, Philadelphia Eagles,14,14,1995
St. Louis Rams,23, New York Jets,20,14,1995
Washington Redskins,24, Dallas Cowboys,17,14,1995
Atlanta Falcons,19, New Orleans Saints,14,15,1995
Buffalo Bills,45, St. Louis Rams,27,15,1995
Cincinnati Bengals,16, Chicago Bears,10,15,1995
Detroit Lions,24, Houston Oilers,17,15,1995
Indianapolis Colts,41, Jacksonville Jaguars,31,15,1995
Miami Dolphins,13, Kansas City Chiefs,6,15,1995
Minnesota Vikings,27, Cleveland Browns,11,15,1995
New England Patriots,31, New York Jets,28,15,1995
New York Giants,20, Washington Redskins,13,15,1995
Philadelphia Eagles,20, Dallas Cowboys,17,15,1995
Pittsburgh Steelers,29, Oakland Raiders,10,15,1995
San Diego Chargers,28, Arizona Cardinals,25,15,1995
San Francisco 49ers,31, Carolina Panthers,10,15,1995
Seattle Seahawks,31, Denver Broncos,27,15,1995
Tampa Bay Buccaneers,13, Green Bay Packers,10,15,1995
Buffalo Bills,23, Miami Dolphins,20,16,1995
Carolina Panthers,21, Atlanta Falcons,17,16,1995
Chicago Bears,31, Tampa Bay Buccaneers,10,16,1995
Cleveland Browns,26, Cincinnati Bengals,10,16,1995
Dallas Cowboys,21, New York Giants,20,16,1995
Detroit Lions,44, Jacksonville Jaguars,0,16,1995
Green Bay Packers,34, New Orleans Saints,23,16,1995
Houston Oilers,23, New York Jets,6,16,1995
Kansas City Chiefs,20, Denver Broncos,17,16,1995
Philadelphia Eagles,21, Arizona Cardinals,20,16,1995
Pittsburgh Steelers,41, New England Patriots,27,16,1995
San Diego Chargers,27, Indianapolis Colts,24,16,1995
San Francisco 49ers,37, Minnesota Vikings,30,16,1995
Seattle Seahawks,44, Oakland Raiders,10,16,1995
Washington Redskins,35, St. Louis Rams,23,16,1995
Atlanta Falcons,28, San Francisco 49ers,27,17,1995
Chicago Bears,20, Philadelphia Eagles,14,17,1995
Cincinnati Bengals,27, Minnesota Vikings,24,17,1995
Dallas Cowboys,37, Arizona Cardinals,13,17,1995
Denver Broncos,31, Oakland Raiders,28,17,1995
Detroit Lions,37, Tampa Bay Buccaneers,10,17,1995
Green Bay Packers,24, Pittsburgh Steelers,19,17,1995
Houston Oilers,28, Buffalo Bills,17,17,1995
Indianapolis Colts,10, New England Patriots,7,17,1995
Jacksonville Jaguars,24, Cleveland Browns,21,17,1995
Kansas City Chiefs,26, Seattle Seahawks,3,17,1995
Miami Dolphins,41, St. Louis Rams,22,17,1995
New Orleans Saints,12, New York Jets,0,17,1995
San Diego Chargers,27, New York Giants,17,17,1995
Washington Redskins,20, Carolina Panthers,17,17,1995
Buffalo Bills,37, Miami Dolphins,22,wc,1995
Green Bay Packers,37, Atlanta Falcons,20,wc,1995
Indianapolis Colts,35, San Diego Chargers,20,wc,1995
Philadelphia Eagles,56, Detroit Lions,37,wc,1995
Dallas Cowboys,30, Philadelphia Eagles,11,div,1995
Green Bay Packers,27, San Francisco 49ers,17,div,1995
Indianapolis Colts,10, Kansas City Chiefs,7,div,1995
Pittsburgh Steelers,40, Buffalo Bills,21,div,1995
Dallas Cowboys,38, Green Bay Packers,27,conf,1995
Pittsburgh Steelers,20, Indianapolis Colts,16,conf,1995
Dallas Cowboys,27, Pittsburgh Steelers,17,sb,1995
Baltimore Ravens,19, Oakland Raiders,14,01,1996
Buffalo Bills,23, New York Giants,20,01,1996
Carolina Panthers,29, Atlanta Falcons,6,01,1996
Chicago Bears,22, Dallas Cowboys,6,01,1996
Denver Broncos,31, New York Jets,6,01,1996
Green Bay Packers,34, Tampa Bay Buccaneers,3,01,1996
Indianapolis Colts,20, Arizona Cardinals,13,01,1996
Jacksonville Jaguars,24, Pittsburgh Steelers,9,01,1996
Kansas City Chiefs,20, Houston Oilers,19,01,1996
Miami Dolphins,24, New England Patriots,10,01,1996
Minnesota Vikings,17, Detroit Lions,13,01,1996
Philadelphia Eagles,17, Washington Redskins,14,01,1996
San Diego Chargers,29, Seattle Seahawks,7,01,1996
San Francisco 49ers,27, New Orleans Saints,11,01,1996
St. Louis Rams,26, Cincinnati Bengals,16,01,1996
Buffalo Bills,17, New England Patriots,10,02,1996
Carolina Panthers,22, New Orleans Saints,20,02,1996
Dallas Cowboys,27, New York Giants,0,02,1996
Denver Broncos,30, Seattle Seahawks,20,02,1996
Detroit Lions,21, Tampa Bay Buccaneers,6,02,1996
Green Bay Packers,39, Philadelphia Eagles,13,02,1996
Houston Oilers,34, Jacksonville Jaguars,27,02,1996
Indianapolis Colts,21, New York Jets,7,02,1996
Kansas City Chiefs,19, Oakland Raiders,3,02,1996
Miami Dolphins,38, Arizona Cardinals,10,02,1996
Minnesota Vikings,23, Atlanta Falcons,17,02,1996
Pittsburgh Steelers,31, Baltimore Ravens,17,02,1996
San Diego Chargers,27, Cincinnati Bengals,14,02,1996
San Francisco 49ers,34, St. Louis Rams,0,02,1996
Washington Redskins,10, Chicago Bears,3,02,1996
Cincinnati Bengals,30, New Orleans Saints,15,03,1996
Denver Broncos,27, Tampa Bay Buccaneers,23,03,1996
Green Bay Packers,42, San Diego Chargers,10,03,1996
Houston Oilers,29, Baltimore Ravens,13,03,1996
Indianapolis Colts,25, Dallas Cowboys,24,03,1996
Kansas City Chiefs,35, Seattle Seahawks,17,03,1996
Miami Dolphins,36, New York Jets,27,03,1996
Minnesota Vikings,20, Chicago Bears,14,03,1996
New England Patriots,31, Arizona Cardinals,0,03,1996
Oakland Raiders,17, Jacksonville Jaguars,3,03,1996
Philadelphia Eagles,24, Detroit Lions,17,03,1996
Pittsburgh Steelers,24, Buffalo Bills,6,03,1996
Washington Redskins,31, New York Giants,10,03,1996
Arizona Cardinals,28, New Orleans Saints,14,04,1996
Buffalo Bills,10, Dallas Cowboys,7,04,1996
Carolina Panthers,23, San Francisco 49ers,7,04,1996
Detroit Lions,35, Chicago Bears,16,04,1996
Indianapolis Colts,10, Miami Dolphins,7,04,1996
Kansas City Chiefs,17, Denver Broncos,14,04,1996
Minnesota Vikings,30, Green Bay Packers,21,04,1996
New England Patriots,28, Jacksonville Jaguars,25,04,1996
New York Giants,13, New York Jets,6,04,1996
Philadelphia Eagles,33, Atlanta Falcons,18,04,1996
San Diego Chargers,40, Oakland Raiders,34,04,1996
Seattle Seahawks,17, Tampa Bay Buccaneers,13,04,1996
Washington Redskins,17, St. Louis Rams,10,04,1996
Arizona Cardinals,31, St. Louis Rams,28,05,1996
Baltimore Ravens,17, New Orleans Saints,10,05,1996
Chicago Bears,19, Oakland Raiders,17,05,1996
Dallas Cowboys,23, Philadelphia Eagles,19,05,1996
Denver Broncos,14, Cincinnati Bengals,10,05,1996
Detroit Lions,27, Tampa Bay Buccaneers,0,05,1996
Green Bay Packers,31, Seattle Seahawks,10,05,1996
Jacksonville Jaguars,24, Carolina Panthers,14,05,1996
New York Giants,15, Minnesota Vikings,10,05,1996
Pittsburgh Steelers,30, Houston Oilers,16,05,1996
San Diego Chargers,22, Kansas City Chiefs,19,05,1996
San Francisco 49ers,39, Atlanta Falcons,17,05,1996
Washington Redskins,31, New York Jets,16,05,1996
Buffalo Bills,16, Indianapolis Colts,13,06,1996
Denver Broncos,28, San Diego Chargers,17,06,1996
Detroit Lions,28, Atlanta Falcons,24,06,1996
Green Bay Packers,37, Chicago Bears,6,06,1996
Houston Oilers,30, Cincinnati Bengals,27,06,1996
Minnesota Vikings,14, Carolina Panthers,12,06,1996
New England Patriots,46, Baltimore Ravens,38,06,1996
New Orleans Saints,17, Jacksonville Jaguars,13,06,1996
Oakland Raiders,34, New York Jets,13,06,1996
Pittsburgh Steelers,17, Kansas City Chiefs,7,06,1996
San Francisco 49ers,28, St. Louis Rams,11,06,1996
Seattle Seahawks,22, Miami Dolphins,15,06,1996
Carolina Panthers,45, St. Louis Rams,13,07,1996
Dallas Cowboys,17, Arizona Cardinals,3,07,1996
Green Bay Packers,23, San Francisco 49ers,20,07,1996
Houston Oilers,23, Atlanta Falcons,13,07,1996
Indianapolis Colts,26, Baltimore Ravens,21,07,1996
Jacksonville Jaguars,21, New York Jets,17,07,1996
Miami Dolphins,21, Buffalo Bills,7,07,1996
New Orleans Saints,27, Chicago Bears,24,07,1996
Oakland Raiders,37, Detroit Lions,21,07,1996
Philadelphia Eagles,19, New York Giants,10,07,1996
Pittsburgh Steelers,20, Cincinnati Bengals,10,07,1996
Tampa Bay Buccaneers,24, Minnesota Vikings,13,07,1996
Washington Redskins,27, New England Patriots,22,07,1996
Arizona Cardinals,13, Tampa Bay Buccaneers,9,08,1996
Buffalo Bills,25, New York Jets,22,08,1996
Carolina Panthers,19, New Orleans Saints,7,08,1996
Dallas Cowboys,32, Atlanta Falcons,28,08,1996
Denver Broncos,45, Baltimore Ravens,34,08,1996
Houston Oilers,23, Pittsburgh Steelers,13,08,1996
Kansas City Chiefs,34, Seattle Seahawks,16,08,1996
New England Patriots,27, Indianapolis Colts,9,08,1996
Oakland Raiders,23, San Diego Chargers,14,08,1996
Philadelphia Eagles,35, Miami Dolphins,28,08,1996
San Francisco 49ers,28, Cincinnati Bengals,21,08,1996
St. Louis Rams,17, Jacksonville Jaguars,14,08,1996
Washington Redskins,31, New York Giants,21,08,1996
Baltimore Ravens,37, St. Louis Rams,31,09,1996
Chicago Bears,15, Minnesota Vikings,13,09,1996
Cincinnati Bengals,28, Jacksonville Jaguars,21,09,1996
Dallas Cowboys,29, Miami Dolphins,10,09,1996
Denver Broncos,34, Kansas City Chiefs,7,09,1996
Green Bay Packers,13, Tampa Bay Buccaneers,7,09,1996
New England Patriots,28, Buffalo Bills,25,09,1996
New York Giants,35, Detroit Lions,7,09,1996
New York Jets,31, Arizona Cardinals,21,09,1996
Philadelphia Eagles,20, Carolina Panthers,9,09,1996
Pittsburgh Steelers,20, Atlanta Falcons,17,09,1996
San Francisco 49ers,10, Houston Oilers,9,09,1996
Seattle Seahawks,32, San Diego Chargers,13,09,1996
Washington Redskins,31, Indianapolis Colts,16,09,1996
Atlanta Falcons,20, Carolina Panthers,17,10,1996
Buffalo Bills,38, Washington Redskins,13,10,1996
Chicago Bears,13, Tampa Bay Buccaneers,10,10,1996
Cincinnati Bengals,24, Baltimore Ravens,21,10,1996
Denver Broncos,22, Oakland Raiders,21,10,1996
Green Bay Packers,28, Detroit Lions,18,10,1996
Kansas City Chiefs,21, Minnesota Vikings,6,10,1996
New England Patriots,42, Miami Dolphins,23,10,1996
New York Giants,16, Arizona Cardinals,8,10,1996
Philadelphia Eagles,31, Dallas Cowboys,21,10,1996
Pittsburgh Steelers,42, St. Louis Rams,6,10,1996
San Diego Chargers,26, Indianapolis Colts,19,10,1996
San Francisco 49ers,24, New Orleans Saints,17,10,1996
Seattle Seahawks,23, Houston Oilers,16,10,1996
Arizona Cardinals,37, Washington Redskins,34,11,1996
Buffalo Bills,24, Philadelphia Eagles,17,11,1996
Carolina Panthers,27, New York Giants,17,11,1996
Cincinnati Bengals,34, Pittsburgh Steelers,24,11,1996
Dallas Cowboys,20, San Francisco 49ers,17,11,1996
Denver Broncos,17, Chicago Bears,12,11,1996
Houston Oilers,31, New Orleans Saints,14,11,1996
Jacksonville Jaguars,30, Baltimore Ravens,27,11,1996
Kansas City Chiefs,27, Green Bay Packers,20,11,1996
Miami Dolphins,37, Indianapolis Colts,13,11,1996
New England Patriots,31, New York Jets,27,11,1996
San Diego Chargers,27, Detroit Lions,21,11,1996
Seattle Seahawks,42, Minnesota Vikings,23,11,1996
St. Louis Rams,59, Atlanta Falcons,16,11,1996
Tampa Bay Buccaneers,20, Oakland Raiders,17,11,1996
Arizona Cardinals,31, New York Giants,23,12,1996
Atlanta Falcons,17, New Orleans Saints,15,12,1996
Buffalo Bills,31, Cincinnati Bengals,17,12,1996
Carolina Panthers,20, St. Louis Rams,10,12,1996
Dallas Cowboys,21, Green Bay Packers,6,12,1996
Denver Broncos,34, New England Patriots,8,12,1996
Detroit Lions,17, Seattle Seahawks,16,12,1996
Indianapolis Colts,34, New York Jets,29,12,1996
Kansas City Chiefs,14, Chicago Bears,10,12,1996
Miami Dolphins,23, Houston Oilers,20,12,1996
Minnesota Vikings,16, Oakland Raiders,13,12,1996
Pittsburgh Steelers,28, Jacksonville Jaguars,3,12,1996
San Francisco 49ers,38, Baltimore Ravens,20,12,1996
Tampa Bay Buccaneers,25, San Diego Chargers,17,12,1996
Washington Redskins,26, Philadelphia Eagles,21,12,1996
Arizona Cardinals,36, Philadelphia Eagles,30,13,1996
Buffalo Bills,35, New York Jets,10,13,1996
Carolina Panthers,31, Houston Oilers,6,13,1996
Chicago Bears,31, Detroit Lions,14,13,1996
Cincinnati Bengals,41, Atlanta Falcons,31,13,1996
Denver Broncos,21, Minnesota Vikings,17,13,1996
Green Bay Packers,24, St. Louis Rams,9,13,1996
Jacksonville Jaguars,28, Baltimore Ravens,25,13,1996
New England Patriots,27, Indianapolis Colts,13,13,1996
New York Giants,20, Dallas Cowboys,6,13,1996
Oakland Raiders,27, Seattle Seahawks,21,13,1996
Pittsburgh Steelers,24, Miami Dolphins,17,13,1996
San Diego Chargers,28, Kansas City Chiefs,14,13,1996
San Francisco 49ers,19, Washington Redskins,16,13,1996
Tampa Bay Buccaneers,13, New Orleans Saints,7,13,1996
Baltimore Ravens,31, Pittsburgh Steelers,17,14,1996
Carolina Panthers,24, Tampa Bay Buccaneers,0,14,1996
Dallas Cowboys,21, Washington Redskins,10,14,1996
Denver Broncos,34, Seattle Seahawks,7,14,1996
Green Bay Packers,28, Chicago Bears,17,14,1996
Houston Oilers,35, New York Jets,10,14,1996
Indianapolis Colts,13, Buffalo Bills,10,14,1996
Jacksonville Jaguars,30, Cincinnati Bengals,27,14,1996
Kansas City Chiefs,28, Detroit Lions,24,14,1996
Minnesota Vikings,41, Arizona Cardinals,17,14,1996
New England Patriots,45, San Diego Chargers,7,14,1996
Oakland Raiders,17, Miami Dolphins,7,14,1996
Philadelphia Eagles,24, New York Giants,0,14,1996
San Francisco 49ers,34, Atlanta Falcons,10,14,1996
St. Louis Rams,26, New Orleans Saints,10,14,1996
Atlanta Falcons,31, New Orleans Saints,15,15,1996
Carolina Panthers,30, San Francisco 49ers,24,15,1996
Chicago Bears,35, St. Louis Rams,9,15,1996
Cincinnati Bengals,21, Baltimore Ravens,14,15,1996
Dallas Cowboys,10, Arizona Cardinals,6,15,1996
Green Bay Packers,41, Denver Broncos,6,15,1996
Indianapolis Colts,37, Philadelphia Eagles,10,15,1996
Jacksonville Jaguars,23, Houston Oilers,17,15,1996
Minnesota Vikings,24, Detroit Lions,22,15,1996
New England Patriots,34, New York Jets,10,15,1996
New York Giants,17, Miami Dolphins,7,15,1996
Oakland Raiders,26, Kansas City Chiefs,7,15,1996
Pittsburgh Steelers,16, San Diego Chargers,3,15,1996
Seattle Seahawks,26, Buffalo Bills,18,15,1996
Tampa Bay Buccaneers,24, Washington Redskins,10,15,1996
Arizona Cardinals,27, Washington Redskins,26,16,1996
Carolina Panthers,27, Baltimore Ravens,16,16,1996
Chicago Bears,27, San Diego Chargers,14,16,1996
Cincinnati Bengals,21, Houston Oilers,13,16,1996
Dallas Cowboys,12, New England Patriots,6,16,1996
Denver Broncos,24, Oakland Raiders,19,16,1996
Green Bay Packers,31, Detroit Lions,3,16,1996
Indianapolis Colts,24, Kansas City Chiefs,19,16,1996
Jacksonville Jaguars,20, Seattle Seahawks,13,16,1996
Miami Dolphins,16, Buffalo Bills,14,16,1996
Minnesota Vikings,21, Tampa Bay Buccaneers,10,16,1996
New Orleans Saints,17, New York Giants,3,16,1996
Philadelphia Eagles,21, New York Jets,20,16,1996
San Francisco 49ers,25, Pittsburgh Steelers,15,16,1996
St. Louis Rams,34, Atlanta Falcons,27,16,1996
Buffalo Bills,20, Kansas City Chiefs,9,17,1996
Carolina Panthers,18, Pittsburgh Steelers,14,17,1996
Cincinnati Bengals,31, Indianapolis Colts,24,17,1996
Green Bay Packers,38, Minnesota Vikings,10,17,1996
Houston Oilers,24, Baltimore Ravens,21,17,1996
Jacksonville Jaguars,19, Atlanta Falcons,17,17,1996
Miami Dolphins,31, New York Jets,28,17,1996
New England Patriots,23, New York Giants,22,17,1996
Philadelphia Eagles,29, Arizona Cardinals,19,17,1996
San Diego Chargers,16, Denver Broncos,10,17,1996
San Francisco 49ers,24, Detroit Lions,14,17,1996
Seattle Seahawks,28, Oakland Raiders,21,17,1996
St. Louis Rams,14, New Orleans Saints,13,17,1996
Tampa Bay Buccaneers,24, Chicago Bears,19,17,1996
Washington Redskins,37, Dallas Cowboys,10,17,1996
Dallas Cowboys,40, Minnesota Vikings,15,wc,1996
Jacksonville Jaguars,30, Buffalo Bills,27,wc,1996
Pittsburgh Steelers,42, Indianapolis Colts,14,wc,1996
San Francisco 49ers,14, Philadelphia Eagles,0,wc,1996
Carolina Panthers,26, Dallas Cowboys,17,div,1996
Green Bay Packers,35, San Francisco 49ers,14,div,1996
Jacksonville Jaguars,30, Denver Broncos,27,div,1996
New England Patriots,28, Pittsburgh Steelers,3,div,1996
Green Bay Packers,30, Carolina Panthers,13,conf,1996
New England Patriots,20, Jacksonville Jaguars,6,conf,1996
Green Bay Packers,35, New England Patriots,21,sb,1996
Cincinnati Bengals,24, Arizona Cardinals,21,01,1997
Dallas Cowboys,37, Pittsburgh Steelers,7,01,1997
Denver Broncos,19, Kansas City Chiefs,3,01,1997
Detroit Lions,28, Atlanta Falcons,17,01,1997
Green Bay Packers,38, Chicago Bears,24,01,1997
Jacksonville Jaguars,28, Baltimore Ravens,27,01,1997
Miami Dolphins,16, Indianapolis Colts,10,01,1997
Minnesota Vikings,34, Buffalo Bills,13,01,1997
