gameorder,game_id,lg_id,is_copy,year_id,date_game,seasongame,is_playoffs,team_id,fran_id,pts,elo_i,elo_n,opp_id,opp_fran,opp_pts,opp_elo_i,opp_elo_n,game_location,game_result,msf_game_id
59282,201211090DEN,NBA,0,2013,2012-11-09,6,0,DEN,Nuggets,104,1567.4622,1576.9272,UTA,Jazz,84,1535.9674,1526.5023,H,W,NA
59283,201211090LAL,NBA,0,2013,2012-11-09,6,0,LAL,Lakers,101,1521.1603,1529.4589,GSW,Warriors,77,1435.7103,1427.4117,H,W,NA
59283,201211090LAL,NBA,1,2013,2012-11-09,6,0,GSW,Warriors,77,1435.7103,1427.4117,LAL,Lakers,101,1521.1603,1529.4589,A,L,NA
59284,201211090MEM,NBA,1,2013,2012-11-09,5,0,HOU,Rockets,85,1498.4143,1494.7465,MEM,Grizzlies,93,1603.3502,1607.0181,A,L,NA
59284,201211090MEM,NBA,0,2013,2012-11-09,5,0,MEM,Grizzlies,93,1603.3502,1607.0181,HOU,Rockets,85,1498.4143,1494.7465,H,W,NA
59285,201211090MIN,NBA,0,2013,2012-11-09,5,0,MIN,Timberwolves,96,1435.6484,1440.7579,IND,Pacers,94,1551.0842,1545.9747,H,W,NA
59285,201211090MIN,NBA,1,2013,2012-11-09,6,0,IND,Pacers,94,1551.0842,1545.9747,MIN,Timberwolves,96,1435.6484,1440.7579,A,L,NA
59286,201211090NOH,NBA,1,2013,2012-11-09,4,0,CHA,Hornets,99,1240.3191,1238.2786,NOP,Pelicans,107,1454.7487,1456.7892,A,L,NA
59286,201211090NOH,NBA,0,2013,2012-11-09,5,0,NOP,Pelicans,107,1454.7487,1456.7892,CHA,Hornets,99,1240.3191,1238.2786,H,W,NA
59287,201211090NYK,NBA,1,2013,2012-11-09,6,0,DAL,Mavericks,94,1538.884,1533.1604,NYK,Knicks,104,1580.3411,1586.0647,A,L,NA
59287,201211090NYK,NBA,0,2013,2012-11-09,4,0,NYK,Knicks,104,1580.3411,1586.0647,DAL,Mavericks,94,1538.884,1533.1604,H,W,NA
59288,201211090OKC,NBA,0,2013,2012-11-09,6,0,OKL,Thunder,105,1653.8605,1655.8643,DET,Pistons,94,1402.0664,1400.0626,H,W,NA
59288,201211090OKC,NBA,1,2013,2012-11-09,6,0,DET,Pistons,94,1402.0664,1400.0626,OKL,Thunder,105,1653.8605,1655.8643,A,L,NA
59289,201211090ORL,NBA,1,2013,2012-11-09,4,0,BRO,Nets,107,1361.5804,1412.4287,ORL,Magic,68,1487.2438,1436.3955,A,W,NA
59289,201211090ORL,NBA,0,2013,2012-11-09,5,0,ORL,Magic,68,1487.2438,1436.3955,BRO,Nets,107,1361.5804,1412.4287,H,L,NA
59290,201211090PHO,NBA,0,2013,2012-11-09,6,0,PHX,Suns,107,1508.2866,1509.8342,CLE,Cavaliers,105,1358.7621,1357.2145,H,W,NA
