lastName,firstName,POS,Team,FGA,FTA,REB,AST,PTS,TOV,STL,BLK,SEC
Davis,Ed,PF,Trail Blazers,271,105,527,36,390,58,31,48,80024
Dedmon,Dewayne,C,Hawks,367,67,376,71,491,76,34,40,73605
Dekker,Sam,SF,Clippers,225,46,146,33,253,29,22,8,46037
Delaney,Malcolm,PG,Hawks,285,92,100,163,338,66,36,6,60851
Dellavedova,Matthew,PG,Bucks,149,25,64,142,162,48,13,1,42102
Deng,Luol,PF,Lakers,2,0,0,1,2,1,1,0,788
DeRozan,DeMar,SG,Raptors,1258,505,280,360,1658,157,80,18,143228
Diallo,Cheick,PF,Pelicans,133,42,134,13,183,18,9,16,23612
Dieng,Gorgui,PF,Timberwolves,334,95,306,64,404,52,40,31,70255
Dinwiddie,Spencer,PG,Nets,751,231,229,469,894,109,62,24,121106
Donovan,Billy,C,Thunder,0,0,0,0,0,0,0,0,0
Dorsey,Tyler,PG,Hawks,245,42,93,58,244,22,11,4,39894
Dotson,Damyean,SG,Knicks,97,12,47,18,104,11,7,1,18418
Doyle,Milton,G,Nets,25,3,9,4,18,2,2,1,3781
Dozier,PJ,G,Thunder,2,0,1,0,2,1,0,0,191
Dragic,Goran,PG,Heat,954,244,262,311,1147,141,54,12,123653
Drew II,Larry,PG,Pelicans,11,0,1,3,2,1,0,0,1483
Drummond,Andre,C,Pistons,755,334,1062,212,1007,177,106,108,133787
Dudley,Jared,PF,Suns,96,29,76,66,127,23,20,8,33780
Dukan,Duje,SF,Bulls,0,0,0,0,0,0,0,0,0
Dunn,Kris,PG,Bulls,666,115,220,310,699,150,104,28,91490
Durant,Kevin,SF,Warriors,1079,353,408,321,1594,187,45,114,124148
Early,Cleanthony,SF,Rockets,0,0,0,0,0,0,0,0,0
Eddie,Jarell,SF,Bulls,2,0,1,0,0,0,1,0,517
Ellenson,Henry,PF,Pistons,83,10,47,11,68,12,3,0,10432
Ellington,Wayne,SG,Heat,594,69,191,71,724,45,43,6,103496
Embiid,Joel,C,76ers,985,435,631,186,1345,216,37,101,106074
Ennis,Tyler,PG,Lakers,138,20,57,65,133,21,17,6,26570
Ennis III,James,SF,Pistons,318,103,201,62,437,50,43,17,84066
Evans,Jawun,PG,Clippers,251,47,84,98,230,43,36,6,45836
Evans,Jeremy,SF,Hawks,0,0,0,0,0,0,0,0,0
Evans,Tyreke,SG,Grizzlies,798,205,258,265,994,111,56,16,94755
Exum,Dante,G,Jazz,11,6,4,4,12,3,1,0,1640
Ezeli,Festus,C,Warriors,0,0,0,0,0,0,0,0,0
Faried,Kenneth,PF,Nuggets,148,51,154,18,188,23,12,14,27645
Favors,Derrick,PF,Jazz,593,184,475,88,792,81,51,66,110271
Felder,Kay,PG,Pistons,68,12,15,20,55,16,3,1,8184
Felicio,Cristiano,C,Bulls,134,55,136,40,194,34,8,10,39715
Felix,Carrick,SG,Wizards,0,0,0,0,0,0,0,0,0
Felton,Raymond,PG,Thunder,486,42,140,191,505,67,44,11,72308
Ferguson,Terrance,SG,Thunder,147,8,40,15,163,10,23,10,39486
Ferrell,Yogi,PG,Mavericks,610,87,228,167,708,71,54,6,122339
Finney-Smith,Dorian,F,Mavericks,35,7,25,8,41,8,2,2,9351
Fizdale,David,C,Grizzlies,0,0,0,0,0,0,0,0,0
Forbes,Bryn,SG,Spurs,450,61,99,66,500,35,25,2,80794
Fournier,Evan,SG,Magic,802,173,179,165,1013,95,47,16,110278
Fox,De'Aaron,PG,Kings,664,165,158,266,712,147,62,16,101984
Frazier,Tim,PG,Wizards,156,28,106,181,164,55,41,8,46327
Frye,Channing,C,Lakers,170,15,110,28,215,18,17,12,33360
Fultz,Markelle,G,76ers,27,12,9,7,24,4,2,1,4537
Gallinari,Danilo,SF,Clippers,241,77,93,40,303,23,11,6,36467
Galloway,Langston,PG,Pistons,302,34,82,53,325,17,31,5,46715
Gasol,Marc,C,Grizzlies,948,325,549,270,1152,180,44,95,131266
